"studyID","short_reference","ot:studyPublicationReference","ot:studyPublication"
"pg_2416","Nunn and Stanley, 1998","Nunn, Gary B., Scott E. Stanley. 1998. Body size effects and rates of cytochrome b evolution in tube-nosed seabirds. Molecular Biology and Evolution 15 (10): 1360-1371.","http://dx.doi.org/10.1093/oxfordjournals.molbev.a025864"
"ot_174","Nyári et al., 2009","Nyári, Árpád S., Brett W. Benz, Knud A. Jønsson, Jon Fjeldså, Robert G. Moyle. 2009. Phylogenetic relationships of fantails (Aves: Rhipiduridae). Zoologica Scripta 38 (6): 553-561.","http://dx.doi.org/10.1111/j.1463-6409.2009.00397.x"
"pg_2858","Nylander et al., 2008","Nylander, Johan A. A., Urban Olsson, Per Alström, Isabel Sanmartín. 2008. Accounting for phylogenetic uncertainty in biogeography: a Bayesian approach to dispersal-vicariance analysis of the thrushes (Aves: Turdus). Systematic Biology 57 (2): 257-268.","http://dx.doi.org/10.1080/10635150802044003"
"ot_305","Oatley, Simmons and Fuchs, 2015","Oatley, Graeme, Robert E. Simmons, Jérôme Fuchs. 2015. A molecular phylogeny of the harriers (Circus, Accipitridae) indicate the role of long distance dispersal and migration in diversification. Molecular Phylogenetics and Evolution 85:150-160.","http://dx.doi.org/10.1016/j.ympev.2015.01.013"
"pg_2015","Ödeen, Håstad and Alström, 2011","Odeen, A., Hastad O., & Alstrom P. 2011. Evolution of ultraviolet vision in the largest avian radiation - the passerines. BMC Evolutionary Biology 11 (313): 1-8.","http://dx.doi.org/10.1186/1471-2148-11-313"
"ot_864","Ogawa et al., 2015","Ogawa, Lisa M., Paulo C. Pulgarin, Donald A. Vance, Jon Fjeldså, Marcel van Tuinen. 2015. Opposing demographic histories reveal rapid evolution in grebes (Aves: Podicipedidae). The Auk 132 (4): 771-786","http://dx.doi.org/10.1642/auk-14-259.1"
"pg_2796","Ohlson, Fjeldså and Ericson, 2013","Ohlson, Jan I., Jon Fjeldså, Per G.P. Ericson. 2013. Molecular phylogeny of the manakins (Aves: Passeriformes: Pipridae), with a new classification and the description of a new genus. Molecular Phylogenetics and Evolution 69 (3): 796-804.","http://dx.doi.org/10.1016/j.ympev.2013.06.024"
"ot_2108","Oliver et al., 2020","Oliver, P. M., Heiniger, H., Hugall, A. F., Joseph, L., & Mitchell, K. J. (2020). Oligocene divergence of frogmouth birds (Podargidae) across Wallace’s Line. Biology Letters, 16(5), 20200040. https://doi.org/10.1098/rsbl.2020.0040","http://dx.doi.org/10.1098/rsbl.2020.0040"
"ot_2180","Oliveros et al., 2019","Oliveros, C. H., Andersen, M. J., & Moyle, R. G. (2021). A phylogeny of white-eyes based on ultraconserved elements. Molecular Phylogenetics and Evolution, 164, 107273. https://doi.org/10.1016/j.ympev.2021.107273","http://dx.doi.org/10.1016/j.ympev.2021.107273"
"ot_2013","Oliveros, Andersen and Moyle, 2021","Oliveros, C. H., Field, D. J., Ksepka, D. T., Barker, F. K., Aleixo, A., Andersen, M. J., … Faircloth, B. C. (2019). Earth history and the passerine superradiation. Proceedings of the National Academy of Sciences, 116(16), 7916–7925. doi:10.1073/pnas.1813206116","http://dx.doi.org/10.1073/pnas.1813206116"
"ot_2222","Olsson and Alström, 2020","Olsson, U., & Alström, P. (2020). A comprehensive phylogeny and taxonomic evaluation of the waxbills (Aves: Estrildidae). Molecular Phylogenetics and Evolution, 146, 106757. https://doi.org/10.1016/j.ympev.2020.106757","http://dx.doi.org/10.1016/j.ympev.2020.106757"
"ot_2169","Olsson et al., 2013","Olsson, U., Irestedt, M., Sangster, G., Ericson, P. G. P., & Alström, P. (2013). Systematic revision of the avian family Cisticolidae based on a multi-locus phylogeny of all genera. Molecular Phylogenetics and Evolution, 66(3), 790–799. https://doi.org/10.1016/j.ympev.2012.11.004","http://dx.doi.org/10.1016/j.ympev.2012.11.004"
"ot_147","Ornelas, González and Espinosa De Los Monteros, 2009","Ornelas, J. F., C. Gonzalez, and A. Espinosa De Los Monteros. 2009. Uncorrelated evolution between vocal and plumage coloration traits in the trogons: a comparative study. Journal of Evolutionary Biology 22 (3): 471-484.","http://dx.doi.org/10.1111/j.1420-9101.2008.01679.x"
"ot_2314","Ostrow et al., 2023","Ostrow, E. N., Catanach, T. A., Bates, J. M., Aleixo, A., & Weckstein, J. D. (2023). Phylogenomic analysis confirms the relationships among toucans, toucan-barbets, and New World barbets but reveals paraphyly ofSelenideratoucanets and evidence for mitonuclear discordance. Ornithology, 140(3). https://doi.org/10.1093/ornithology/ukad022 ","none"
"ot_731","Ottenburghs et al., 2016","Ottenburghs, Jente, Hendrik-Jan Megens, Robert H.S. Kraus, Ole Madsen, Pim van Hooft, Sipke E. van Wieren, Richard P.M.A. Crooijmans, Ronald C. Ydenberg, Martien A.M. Groenen, Herbert H.T. Prins. 2016. A Tree of Geese: A Phylogenomic Perspective on the Evolutionary History of True Geese. Molecular Phylogenetics and Evolution 101: 303-313.","http://dx.doi.org/10.1016/j.ympev.2016.05.021"
"ot_149","Overton and Rhoads, 2004","Overton, Lowell C, Douglas D Rhoads. 2004. Molecular phylogenetic relationships based on mitochondrial and nuclear gene sequences for the Todies (Todus, Todidae) of the Caribbean. Molecular Phylogenetics and Evolution 32 (2): 524-538.","http://dx.doi.org/10.1016/j.ympev.2004.01.004"
"ot_2143","Päckert et al., 2020","Päckert, M., Favre, A., Schnitzler, J., Martens, J., Sun, Y., Tietze, D. T., Hailer, F., Michalak, I., & Strutzenberger, P. (2020). “Into and Out of” the Qinghai‐Tibet Plateau and the Himalayas: Centers of origin and diversification across five clades of Eurasian montane and alpine passerine birds. Ecology and Evolution, 10(17), 9283–9300. Portico. https://doi.org/10.1002/ece3.6615","http://dx.doi.org/10.1002/ece3.6615"
"ot_170","Päckert, Martens and Severinghaus, 2009","Päckert, Martin , Jochen Martens, Lucia Liu Severinghaus. 2009. The Taiwan Firecrest (Regulus goodfellowi) belongs to the Goldcrest assemblage (Regulus regulus s. l.): evidence from mitochondrial DNA and the territorial song of the Regulidae. Journal of Ornithology 150 (1): 205-220.","http://dx.doi.org/10.1007/s10336-008-0335-5"
"ot_112","Päckert, Martens, Sun, et al., 2012","Päckert, Martin, Jochen Martens, Michael Wink, Anna Feigl, Dieter Thomas Tietze. 2012. Molecular phylogeny of Old World swifts (Aves: Apodiformes, Apodidae, Apus and Tachymarptis) based on mitochondrial and nuclear markers. Molecular Phylogenetics and Evolution 63 (3): 606-616.","http://dx.doi.org/10.1016/j.ympev.2012.02.002"
"ot_172","Päckert, Martens, Wink, et al., 2012","Päckert, Martin, Jochen Martens, Yue-Hua Sun, Lucia Liu Severinghaus, Alexander A. Nazarenko, Ji Ting, Till Töpfer, Dieter Thomas Tietze. 2011. Horizontal and elevational phylogeographic patterns of Himalayan and Southeast Asian forest passerines (Aves: Passeriformes). Journal of Biogeography 39 (3): 556-573.","http://dx.doi.org/10.1111/j.1365-2699.2011.02606.x"
"ot_827","Parchman, Benkman and Mezquida, 2007","Parchman, Thomas L., Craig W. Benkman, Eduardo T. Mezquida. 2007. Coevolution between Hispaniolan crossbills and pine: does more time allow for greater phenotypic escalation at lower latitude? Evolution 61 (9): 2142-2153","http://dx.doi.org/10.1111/j.1558-5646.2007.00172.x"
"pg_2845","Pasquet et al., 2014","Pasquet,  Eric, F. Keith Barker, Jochen Martens, Annie Tillier, Corinne Cruaud, Alice Cibois. 2014.  Evolution within the nuthatches (Sittidae: Aves, Passeriformes): molecular phylogeny, biogeography, and ecological perspectives. Journal of Ornithology 155 (3):755-765.","http://dx.doi.org/10.1007/s10336-014-1063-7"
"ot_152","Patané et al., 2009","Patané, José S.L., Jason D. Weckstein, Alexandre Aleixo, John M. Bates. 2009. Evolutionary history of Ramphastos toucans: molecular phylogenetics, temporal diversification, and biogeography. Molecular Phylogenetics and Evolution 53 (3): 923-934.","http://dx.doi.org/10.1016/j.ympev.2009.08.017"
"ot_153","Patel et al., 2011","Patel, Swati, Jason D. Weckstein, José S.L. Patané, John M. Bates, Alexandre Aleixo. 2011. Temporal and spatial diversification of Pteroglossus araçaris (Aves: Ramphastidae) in the neotropics: constant rate of diversification does not support an increase in radiation during the Pleistocene. Molecular Phylogenetics and Evolution 58 (1): 105-115.","http://dx.doi.org/10.1016/j.ympev.2010.10.016"
"ot_137","Patterson, Morris-Pocock and Friesen, 2011","Patterson, S.A., J.A. Morris-Pocock, V.L. Friesen. 2011. A multilocus phylogeny of the Sulidae (Aves: Pelecaniformes). Molecular Phylogenetics and Evolution 58 (2): 181-191.","http://dx.doi.org/10.1016/j.ympev.2010.11.021"
"ot_121","Payne, 2005","Payne, Robert B. The cuckoos. Vol. 15. Oxford University Press, 2005. ISBN-13: 978-0198502135 ISBN-10: 0198502133","http://ukcatalogue.oup.com/product/9780198502135.do"
"pg_2444","Pereira et al., 2007","Pereira, S., Johnson K., Clayton D., and Baker A. 2007. Mitochondrial and nuclear DNA sequences support a Cretaceous origin of Columbiformes and a dispersal-driven radiation in the Paleogene. Systematic Biology 56 (4): 656-672.","http://dx.doi.org/10.1080/10635150701549672"
"ot_830","Pereira and Wajntal, 2008","Pereira, S.L. Anita Wajntal, 2008, 'The historical biogeography of Pteroglossus aracaris (Aves, Piciformes, Ramphastidae) based on Bayesian analysis of mitochondrial DNA sequences', Genetics and Molecular Biology, vol. 31, no. 4, pp. 964-973","http://dx.doi.org/10.1590/s1415-47572008005000021"
"ot_119","Pereira, Baker and Wajntal, 2002","Pereira, Sergio L., Allan J. Baker, Anita Wajntal. 2002. Combined nuclear and mitochondrial DNA sequences resolve generic relationships within the Cracidae (Galliformes, Aves). Systematic Biology 51 (6): 946-958.","http://dx.doi.org/10.1080/10635150290102519"
"ot_144","Pereira and Baker, 2008","Pereira, Sergio L., Allan J. Baker. 2008. DNA evidence for a Paleocene origin of the Alcidae (Aves: Charadriiformes) in the Pacific and multiple dispersals across northern oceans. Molecular Phylogenetics and Evolution 46 (2): 430-445.","http://dx.doi.org/10.1016/j.ympev.2007.11.020"
"ot_120","Pereira and Baker, 2004","Pereira, Sérgio Luiz, Allan J. Baker. 2004. Vicariant speciation of curassows (Aves, Cracidae): a hypothesis based on mitochondrial DNA phylogeny. The Auk 121 (3): 682-694.","http://dx.doi.org/10.1642/0004-8038(2004)121[0682:vsocac]2.0.co;2"
"ot_2151","Pietersen et al., 2019","Pietersen, D. W., McKechnie, A. E., Jansen, R., Little, I. T., & Bastos, A. D. S. (2018). Multi‐locus phylogeny of African pipits and longclaws (Aves: Motacillidae) highlights taxonomic inconsistencies. Ibis, 161(4), 781–792. Portico. https://doi.org/10.1111/ibi.12683","http://dx.doi.org/10.1111/ibi.12683"
"ot_124","Pitra et al., 2002","Pitra, Christian, Dietmar Lieckfeldt, Sylke Frahnert, Joerns Fickel. 2002. Phylogenetic relationships and ancestral areas of the bustards (Gruiformes: Otididae), inferred from mitochondrial DNA and nuclear intron sequences. Molecular Phylogenetics and Evolution 23 (1): 63-74.","http://dx.doi.org/10.1006/mpev.2001.1078"
"pg_2707","Powell et al., 2014","Powell, Alexis F.L.A., F. Keith Barker, Scott M. Lanyon, Kevin J. Burns, John Klicka, Irby J. Lovette. 2014. A comprehensive species-level molecular phylogeny of the New World blackbirds (Icteridae). Molecular Phylogenetics and Evolution 71: 94-112.","http://dx.doi.org/10.1016/j.ympev.2013.11.009"
"pg_2913","Price et al., 2014","Price, Trevor D., Daniel M. Hooper, Caitlyn D. Buchanan, Ulf S. Johansson, D. Thomas Tietze, Per Alström, Urban Olsson, Mousumi Ghosh-Harihar, Farah Ishtiaq, Sandeep K. Gupta, Jochen Martens, Bettina Harr, Pratap Singh, Dhananjai Mohan. 2014. Niche filling slows the diversification of Himalayan songbirds. Nature 509: 222-225.","http://dx.doi.org/10.1038/nature13272"
"ot_500","Prum et al., 2015","Prum, Richard O., Jacob S. Berv, Alex Dornburg, Daniel J. Field, Jeffrey P. Townsend, Emily Moriarty Lemmon, Alan R. Lemmon. 2015. A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing. Nature 526, (7574): 569-573","http://dx.doi.org/10.1038/nature15697"
"ot_102","Pulgarín-R et al., 2013","Pulgarín-R, Paulo C., Brian Tilston Smith, Robert W. Bryson, Garth M. Spellman, John Klicka. 2013. Multilocus phylogeny and biogeography of the New World Pheucticus grosbeaks (Aves: Cardinalidae). Molecular Phylogenetics and Evolution 69 (3): 1222-1227.","http://dx.doi.org/10.1016/j.ympev.2013.05.022"
"ot_166","Quintero, Ribas and Cracraft, 2013","Quintero, Esther, Camila C. Ribas, Joel Cracraft. 2012. The Andean Hapalopsittaca parrots (Psittacidae, Aves): an example of montane-tropical lowland vicariance. Zoologica Scripta 42 (1): 28-43.","http://dx.doi.org/10.1111/j.1463-6409.2012.00567.x"
"ot_139","Ramirez, Miyaki and Del Lama, 2013","Ramirez, J.L., C.Y. Miyaki, S.N. Del Lama. 2013. Molecular phylogeny of Threskiornithidae (Aves: Pelecaniformes) based on nuclear and mitochondrial DNA. Genetics and Molecular Research 12 (3): 2740-2750.","http://dx.doi.org/10.4238/2013.july.30.11"
"ot_824","Reddy et al., 2017","Reddy,  S. 2008, 'Systematics and biogeography of the shrike-babblers (Pteruthius): Species limits, molecular phylogenetics, and diversification patterns across southern Asia', Molecular Phylogenetics and Evolution, vol. 47, no. 1, pp. 54-72","http://dx.doi.org/10.1016/j.ympev.2008.01.014"
"ot_1055","Reddy, 2008","Reddy, Sushma, Rebecca T. Kimball, Akanksha Pandey, Peter A. Hosner, Michael J. Braun, Shannon J. Hackett, Kin-Lan Han, John Harshman, Christopher J. Huddleston, Sarah Kingston, Ben D. Marks, Kathleen J. Miglia, William S. Moore, Frederick H. Sheldon, Christopher C. Witt, Tamaki Yuri, Edward L. Braun. 2017. Why do phylogenomic data sets yield conflicting trees? Data type influences the avian tree of life more than taxon sampling. Systematic Biology","http://dx.doi.org/10.1093/sysbio/syx041"
"ot_843","Rheindt, Norman and Christidis, 2008","Rheindt, Frank E., Janette A. Norman, Les Christidis. 2008. Phylogenetic relationships of tyrant-flycatchers (Aves: Tyrannidae), with an emphasis on the elaeniine assemblage. Molecular Phylogenetics and Evolution 46 (1): 88-101","http://dx.doi.org/10.1016/j.ympev.2007.09.011"
"ot_125","Ribas et al., 2012","Ribas, C. C., A. Aleixo, A. C. R. Nogueira, C. Y. Miyaki, J. Cracraft, 2011. A palaeobiogeographic model for biotic diversification within Amazonia over the past three million years. Proceedings of the Royal Society B: Biological Sciences 279 (1729): 681-689.","http://dx.doi.org/10.1098/rspb.2011.1120"
"ot_164","Ribas, Joseph and Miyaki, 2006","Ribas, Camila C., Cristina Y. Miyaki, Joel Cracraft. 2009. Phylogenetic relationships, diversification and biogeography in Neotropical Brotogeris parakeets. Journal of Biogeography 36 (9): 1712-1729.","http://dx.doi.org/10.1111/j.1365-2699.2009.02131.x"
"ot_167","Ribas, Miyaki and Cracraft, 2009","Ribas, Camila C., Leo Joseph, Cristina Y. Miyaki. 2006. Molecular systematics and patterns of diversification in Pyrrhura (Psittacidae), with special reference to the picta-leucotis complex. The Auk 123 (3): 660-680.","http://dx.doi.org/10.1642/0004-8038(2006)123[660:msapod]2.0.co;2"
"pg_2890","Rice, 2005","Rice, Nathan H. 2005. Phylogenetic relationships of antpitta genera (Passeriformes: Formicariidae). The Auk 122 (2): 673-683.","http://dx.doi.org/10.1642/0004-8038(2005)122[0673:proagp]2.0.co;2"
"ot_161","Russello and Amato, 2004","Russello, Michael A, George Amato. 2004. A molecular phylogeny of Amazona: implications for Neotropical parrot biogeography, taxonomy, and conservation. Molecular Phylogenetics and Evolution 30 (2): 421-437.","http://dx.doi.org/10.1016/s1055-7903(03)00192-1"
"ot_2183","Salter et al., 2022","Salter, J. F., Hosner, P. A., Tsai, W. L. E., McCormack, J. E., Braun, E. L., Kimball, R. T., Brumfield, R. T., & Faircloth, B. C. (2022). Historical specimens and the limits of subspecies phylogenomics in the New World quails (Odontophoridae). Molecular Phylogenetics and Evolution, 175, 107559. https://doi.org/10.1016/j.ympev.2022.107559","http://dx.doi.org/10.1016/j.ympev.2022.107559"
"ot_2085","Salter et al., 2020","Salter, J. F., Oliveros, C. H., Hosner, P. A., Manthey, J. D., Robbins, M. B., Moyle, R. G., Brumfield, R. T., & Faircloth, B. C. (2020). Extensive paraphyly in the typical owl family (Strigidae). The Auk, 137(1). https://doi.org/10.1093/auk/ukz070","http://dx.doi.org/10.1093/auk/ukz070"
"ot_823","Scholes III, 2008","Scholes, Edwin III, 2008, 'Evolution Of The Courtship Phenotype In The Bird Of Paradise Genus Parotia (Aves: Paradisaeidae): Homology, Phylogeny, And Modularity', Biological Journal Of The Linnean Society, Vol. 94, No. 3, Pp. 491-504","http://dx.doi.org/10.1111/j.1095-8312.2008.01012.x"
"ot_110","Schweizer and Shirihai, 2013","Schweizer, Manuel, Hadoram Shirihai. 2013. Phylogeny of the Oenanthe lugens complex (Aves, Muscicapidae: Saxicolinae): paraphyly of a morphologically cohesive group within a recent radiation of open-habitat chats. Molecular Phylogenetics and Evolution 69 (3): 450-461.","http://dx.doi.org/10.1016/j.ympev.2013.08.010"
"ot_162","Schweizer, Güntert and Hertwig, 2012","Schweizer, Manuel, Marcel Güntert, Stefan T. Hertwig. 2012. Phylogeny and biogeography of the parrot genus Prioniturus (Aves: Psittaciformes). Journal of Zoological Systematics and Evolutionary Research 50 (2): 145-156.","http://dx.doi.org/10.1111/j.1439-0469.2012.00654.x"
"ot_312","Schweizer et al., 2015","Schweizer, Manuel, Timothy F. Wright, Joshua V. Peñalba, Erin E. Schirtzinger, Leo Joseph. 2015. Molecular phylogenetics suggests a New Guinean origin and frequent episodes of founder-event speciation in the nectarivorous lories and lorikeets (Aves: Psittaciformes). Molecular Phylogenetics and Evolution 90: 34-48.","http://dx.doi.org/10.1016/j.ympev.2015.04.021"
"ot_863","Scofield et al., 2017","Scofield, R. Paul, Kieren J. Mitchell, Jamie R. Wood, Vanesa L. De Pietri, Scott Jarvie, Bastien Llamas, Alan Cooper. 2016. The Origin and Phylogenetic Relationships of the New Zealand Ravens. Molecular Phylogenetics and Evolution 106: 136–143","http://dx.doi.org/10.1016/j.ympev.2016.09.022"
"ot_290","Selvatti, Gonzaga and Russo, 2015","Selvatti, Alexandre Pedro, Luiz Pedreira Gonzaga, Claudia Augusta de Moraes Russo. 2015. A Paleogene origin for crown passerines and the diversification of the Oscines in the New World. Molecular Phylogenetics and Evolution 88: 1-15.","http://dx.doi.org/10.1016/j.ympev.2015.03.018"
"ot_2017","Shakya and Sheldon, 2017","Shakya, S. B., Fuchs, J., Pons, J.-M., & Sheldon, F. H. (2017). Tapping the woodpecker tree for evolutionary insight. Molecular Phylogenetics and Evolution, 116, 182–191. doi:10.1016/j.ympev.2017.09.005","http://dx.doi.org/10.1016/j.ympev.2017.09.005"
"ot_2234","Shakya et al., 2020","Shakya, S. B., Irham, M., Brady, M. L., Haryoko, T., Fitriana, Y. S., Johnson, O., Rahman, M. A., Robi, N. J., Moyle, R. G., Prawiradilaga, D. M., & Sheldon, F. H. (2020). Observations on the relationships of some Sundaic passerine taxa (Aves: Passeriformes) previously unavailable for molecular phylogenetic study. Journal of Ornithology, 161(3), 651–664. https://doi.org/10.1007/s10336-020-01766-9","http://dx.doi.org/10.1007/s10336-020-01766-9"
"ot_1170","Shakya et al., 2017","Shakya, Subir B., Frederick H. Sheldon. 2017. The phylogeny of the world's bulbuls (Pycnonotidae) inferred using a supermatrix approach. Ibis 159 (3): 498-509","http://dx.doi.org/10.1111/ibi.12464"
"ot_178","Sheldon et al.,  2005","Sheldon, Frederick H., Linda A. Whittingham, Robert G. Moyle, Beth Slikas, David W. Winkler. 2005. Phylogeny of swallows (Aves: Hirundinidae) estimated from nuclear and mitochondrial DNA sequences. Molecular Phylogenetics and Evolution 35 (1): 254-270.","http://dx.doi.org/10.1016/j.ympev.2004.11.008"
"ot_313","Shipham et al., 2015","Shipham, Ashlee, Daniel J. Schmidt, Leo Joseph, Jane M. Hughes. 2015. Phylogenetic analysis of the Australian rosella parrots (Platycercus) reveals discordance among molecules and plumage. Molecular Phylogenetics and Evolution 91: 150-159.","http://dx.doi.org/10.1016/j.ympev.2015.05.012"
"ot_768","Slager et al., 2014","Slager, David L., C.J. Battey, Robert W. Bryson, Gary Voelker, John Klicka. 2014. A multilocus phylogeny of a major New World avian radiation: The Vireonidae. Molecular Phylogenetics and Evolution 80: 95-104","http://dx.doi.org/10.1016/j.ympev.2014.07.021"
"ot_138","Slikas, 1997","Slikas, Beth. 1997. Phylogeny of the avian family Ciconiidae (storks) based on cytochrome b sequences and DNA–DNA hybridization distances. Molecular Phylogenetics and Evolution 8 (3): 275-300.","http://dx.doi.org/10.1006/mpev.1997.0431"
"ot_2145","Smith et al., 2022","Smith, B. T., Merwin, J., Provost, K. L., Thom, G., Brumfield, R. T., Ferreira, M., Mauck, W. M., Moyle, R. G., Wright, T. F., & Joseph, L. (2022). Phylogenomic Analysis of the Parrots of the World Distinguishes Artifactual from Biological Sources of Gene Tree Discordance. Systematic Biology. https://doi.org/10.1093/sysbio/syac055 ","http://dx.doi.org/10.1093/sysbio/syac055"
"ot_165","Smith et al., 2012","Smith, Brian Tilston, Camila C. Ribas, Bret M. Whitney, Blanca E. HernÁndez-baÑos, John Klicka. 2012. Identifying biases at different spatial and temporal scales of diversification: a case study in the Neotropical parrotlet genus Forpus. Molecular Ecology 22 (2): 483-494.","http://dx.doi.org/10.1111/mec.12118"
"ot_1286","Smith et al., 2018","Smith, BT Robert W. Bryson, William M. Mauck, Jaime Chaves, Mark B. Robbins, Alexandre Aleixo, John Klicka, 2018, 'Species delimitation and biogeography of the gnatcatchers and gnatwrens (Aves: Polioptilidae)', Molecular Phylogenetics and Evolution, vol. 126, pp. 45-57","http://dx.doi.org/10.1016/j.ympev.2018.03.012"
"ot_171","Spellman et al., 2008","Spellman, GM, A Cibois, RG Moyle, K Winker, F Keith Barker. 2008. Clarifying the systematics of an enigmatic avian lineage: What is a bombycillid?. Molecular Phylogenetics and Evolution 49 (3): 1036-1040.","http://dx.doi.org/10.1016/j.ympev.2008.09.006"
"ot_2147","Sprengelmeyer, 2014","Sprengelmeyer, Quentin D. ""A phylogenetic reevaluation of the genus Gavia (Aves: Gaviiformes) using next-generation sequencing."" (2014).","https://commons.nmu.edu/theses/1/"
"ot_425","Stein, Brown and Mooers, 2015","Stein, R. Will, Joseph W. Brown, Arne Ø. Mooers. 2015. A molecular genetic time scale demonstrates Cretaceous origins and multiple diversification rate shifts within the order Galliformes (Aves). Molecular Phylogenetics and Evolution 92: 155-164","http://dx.doi.org/10.1016/j.ympev.2015.06.005"
"ot_2125","Stervander et al., 2020","Stervander, M., Hansson, B., Olsson, U., Hulme, M. F., Ottosson, U., & Alström, P. (2020). Molecular Species Delimitation of Larks (Aves: Alaudidae), and Integrative Taxonomy of the Genus Calandrella, with the Description of a Range-Restricted African Relic Taxon. Diversity, 12(11), 428. https://doi.org/10.3390/d12110428","http://dx.doi.org/10.3390/d12110428"
"ot_2312","Stiller et al., 2024","Stiller, J., Feng, S., Chowdhury, AA. et al. Complexity of avian evolution revealed by family-level genomes. Nature (2024). https://doi.org/10.1038/s41586-024-07323-1","https://doi.org/10.1038/s41586-024-07323-1"
"pg_2798","Subramanian et al., 2013","Subramanian, S., G. Beans-Picon, S. K. Swaminathan, C. D. Millar, D. M. Lambert. 2013. Evidence for a recent origin of penguins. Biology Letters 9 (6): 20130748-20130748.","http://dx.doi.org/10.1098/rsbl.2013.0748"
"ot_769","Sweet and Johnson, 2015","Sweet, Andrew D., Kevin P. Johnson. 2015. Patterns of diversification in small New World ground doves are consistent with major geologic events. The Auk 132 (1): 300-312.","http://dx.doi.org/10.1642/auk-14-193.1"
"pg_1979","Tavares et al., 2006","Tavares, E.S., Baker A., Pereira S., & Miyaki C. 2006. Phylogenetic relationships and historical biogeography of neotropical parrots (Psittaciformes: Psittacidae: Arini) inferred from mitochondrial and nuclear DNA Sequences. Systematic Biology 55 (3): 454-470.","http://dx.doi.org/10.1080/10635150600697390"
"pg_2874","Tietze et al., 2013","Tietze, Dieter Thomas, Martin Päckert, Jochen Martens, Henriette Lehmann, Yue-Hua Sun. 2013. Complete phylogeny and historical biogeography of true rosefinches (Aves: Carpodacus) . Zoological Journal of the Linnean Society 169 (1): 215-234.","http://dx.doi.org/10.1111/zoj.12057"
"ot_122","Torres et al., 2014","Torres, Chris R, Lisa M Ogawa, Mark AF Gillingham, Brittney Ferrari, Marcel van Tuinen. 2014. A multi-locus inference of the evolutionary diversification of extant flamingos (Phoenicopteridae). BMC Evolutionary Biology 14 (1): 36.","http://dx.doi.org/10.1186/1471-2148-14-36"
"ot_841","Treplin et al., 2008","Treplin, S. Romy Siegert, Christoph Bleidorn, Hazell Shokellu Thompson, Roger Fotso, Ralph Tiedemann, 2008, 'Molecular phylogeny of songbirds (Aves: Passeriformes) and the relative utility of common nuclear marker loci', Cladistics, vol. 24, no. 3, pp. 328-349","http://dx.doi.org/10.1111/j.1096-0031.2007.00178.x"
"ot_2020","Vianna et al., 2020","Vianna, J. A., Fernandes, F. A. N., Frugone, M. J., Figueiró, H. V., Pertierra, L. R., Noll, D., … Bowie, R. C. K. (2020). Genome-wide analyses reveal drivers of penguin diversification. Proceedings of the National Academy of Sciences, 117(36), 22303–22310. doi:10.1073/pnas.2006659117","http://dx.doi.org/10.1073/pnas.2006659117"
"ot_2149","Voelker and Light, 2011","Voelker, G. (2002). Molecular phylogenetics and the historical biogeography of dippers (Cinclus). Ibis, 144(4), 577–584. https://doi.org/10.1046/j.1474-919x.2002.00084.x","http://dx.doi.org/10.1046/j.1474-919x.2002.00084.x"
"pg_2332","Voelker, 2002","Voelker, G., & Light J.E. 2011. Palaeoclimatic events, dispersal and migratory losses along the Afro-European axis as drivers of biogeographic distribution in Sylvia warblers. BMC Evolutionary Biology 11: 163.","http://dx.doi.org/10.1186/1471-2148-11-163"
"ot_753","Wang et al., 2017","Wang, Ning, Rebecca T. Kimball, Edward L. Braun, Bin Liang, Zhengwang Zhang. 2016. Ancestral range reconstruction of Galliformes: the effects of topology and taxon sampling. Journal of Biogeography","http://dx.doi.org/10.1111/jbi.12782"
"ot_2132","White and Braun, 2019","White, N. D., & Braun, M. J. (2019). Extracting phylogenetic signal from phylogenomic data: Higher-level relationships of the nightbirds (Strisores). Molecular Phylogenetics and Evolution, 141, 106611. https://doi.org/10.1016/j.ympev.2019.106611","http://dx.doi.org/10.1016/j.ympev.2019.106611"
"ot_160","White et al., 2011","White, Nicole E., Matthew J. Phillips, M. Thomas P. Gilbert, Alonzo Alfaro-Núñez, Eske Willerslev, Peter R. Mawson, Peter B.S. Spencer, Michael Bunce. 2011. The evolutionary history of cockatoos (Aves: Psittaciformes: Cacatuidae). Molecular Phylogenetics and Evolution 59 (3): 615-622.","http://dx.doi.org/10.1016/j.ympev.2011.03.011"
"ot_1662","White, Mitter and Braun, 2017","White, Noor D. Charles Mitter, Michael J. Braun, 2017, 'Ultraconserved elements resolve the phylogeny of potoos (Aves: Nyctibiidae)', Journal of Avian Biology, vol. 48, no. 6, pp. 872-880","http://dx.doi.org/10.1111/jav.01313"
"ot_136","Whittingham, Sheldon and Emlen, 2000","Whittingham, Linda A., Frederick H. Sheldon, Stephen T. Emlen. 2000. Molecular phylogeny of jacanas and its implications for morphologic and biogeographic evolution. The Auk 117 (1): 22-32.","http://dx.doi.org/10.1642/0004-8038(2000)117[0022:mpojai]2.0.co;2"
